Filename,dra,ddec,dra (arcsec),ddec (arcsec),dra_std,ddec_std,Visit,visitnumber,obsid,Exposure,Filter,Module,ab,nmatch,RAOFF_hdr,DECOFF_hdr
/orange/adamginsburg/jwst/brick/F444W/f444w_nrcb_visit002_exp00009_daophot_basic.fits,1.9403914806395732,1.0791108970625842,1.9403914806395732,1.0791108970625842,0.056916173121117554,0.06461469401831448,jw01182004002,002,004,9,F444W,nrcblong,b,563,1.9542239003164468,1.0004002641519563
/orange/adamginsburg/jwst/brick/F444W/f444w_nrcb_visit002_exp00010_daophot_basic.fits,1.9443847647045913,1.079765725746661,1.9443847647045913,1.079765725746661,0.05804551632629117,0.06267611674165284,jw01182004002,002,004,10,F444W,nrcblong,b,555,1.9542239003164468,1.0004002641519563
/orange/adamginsburg/jwst/brick/F444W/f444w_nrcb_visit002_exp00011_daophot_basic.fits,1.943715481809886,1.0821189864881333,1.943715481809886,1.0821189864881333,0.0561526995578535,0.06362223763138221,jw01182004002,002,004,11,F444W,nrcblong,b,586,1.9542239003164468,1.0004002641519563
/orange/adamginsburg/jwst/brick/F444W/f444w_nrcb_visit002_exp00012_daophot_basic.fits,1.9507563000167465,1.0845588817755427,1.9507563000167465,1.0845588817755427,0.05663655193982303,0.06328786484395943,jw01182004002,002,004,12,F444W,nrcblong,b,586,1.9542239003164468,1.0004002641519563
/orange/adamginsburg/jwst/brick/F444W/f444w_nrca_visit001_exp00001_daophot_basic.fits,-17.4922852291661,13.533236691039384,-17.4922852291661,13.533236691039384,0.05913152148406376,0.060857359238236944,jw01182004001,001,004,1,F444W,nrcalong,a,595,-17.4981982063332,13.500729585539183
/orange/adamginsburg/jwst/brick/F444W/f444w_nrca_visit001_exp00002_daophot_basic.fits,-17.490554155181144,13.5339602534142,-17.490554155181144,13.5339602534142,0.05883725273205941,0.06145518745144705,jw01182004001,001,004,2,F444W,nrcalong,a,596,-17.4981982063332,13.500729585539183
/orange/adamginsburg/jwst/brick/F444W/f444w_nrca_visit001_exp00003_daophot_basic.fits,-17.490410540601715,13.531527251857177,-17.490410540601715,13.531527251857177,0.05703481544026415,0.05684118016979071,jw01182004001,001,004,3,F444W,nrcalong,a,584,-17.4981982063332,13.500729585539183
/orange/adamginsburg/jwst/brick/F444W/f444w_nrca_visit001_exp00004_daophot_basic.fits,-17.49043070740754,13.533218425170567,-17.49043070740754,13.533218425170567,0.05361003719692937,0.05792351377367537,jw01182004001,001,004,4,F444W,nrcalong,a,590,-17.4981982063332,13.500729585539183
/orange/adamginsburg/jwst/brick/F444W/f444w_nrca_visit001_exp00005_daophot_basic.fits,-17.496122598884085,13.535614227632585,-17.496122598884085,13.535614227632585,0.05465123163164016,0.0569467206929389,jw01182004001,001,004,5,F444W,nrcalong,a,586,-17.4981982063332,13.500729585539183
/orange/adamginsburg/jwst/brick/F444W/f444w_nrca_visit001_exp00006_daophot_basic.fits,-17.4934880552928,13.537589576144548,-17.4934880552928,13.537589576144548,0.05607978451578006,0.055970558767040816,jw01182004001,001,004,6,F444W,nrcalong,a,579,-17.4981982063332,13.500729585539183
/orange/adamginsburg/jwst/brick/F444W/f444w_nrca_visit001_exp00007_daophot_basic.fits,-17.498293142130024,13.538608819375163,-17.498293142130024,13.538608819375163,0.059170509768187454,0.05880881529564883,jw01182004001,001,004,7,F444W,nrcalong,a,580,-17.4981982063332,13.500729585539183
/orange/adamginsburg/jwst/brick/F444W/f444w_nrca_visit001_exp00008_daophot_basic.fits,-17.498369057800574,13.540108284496831,-17.498369057800574,13.540108284496831,0.05954179666602215,0.05938009204691811,jw01182004001,001,004,8,F444W,nrcalong,a,582,-17.4981982063332,13.500729585539183
/orange/adamginsburg/jwst/brick/F444W/f444w_nrca_visit001_exp00009_daophot_basic.fits,-17.50309294945282,13.54084799302806,-17.50309294945282,13.54084799302806,0.05792074089250055,0.06255630029626275,jw01182004001,001,004,9,F444W,nrcalong,a,591,-17.4981982063332,13.500729585539183
/orange/adamginsburg/jwst/brick/F444W/f444w_nrca_visit001_exp00010_daophot_basic.fits,-17.49954018801418,13.53851363470222,-17.49954018801418,13.53851363470222,0.0594832109340965,0.06162719725425614,jw01182004001,001,004,10,F444W,nrcalong,a,578,-17.4981982063332,13.500729585539183
/orange/adamginsburg/jwst/brick/F444W/f444w_nrca_visit001_exp00011_daophot_basic.fits,-17.49638429536617,13.537850850001497,-17.49638429536617,13.537850850001497,0.0605781691043147,0.05987363061248621,jw01182004001,001,004,11,F444W,nrcalong,a,594,-17.4981982063332,13.500729585539183
/orange/adamginsburg/jwst/brick/F444W/f444w_nrca_visit001_exp00012_daophot_basic.fits,-17.494245170546492,13.538858520607654,-17.494245170546492,13.538858520607654,0.0568153901041486,0.05974757587894115,jw01182004001,001,004,12,F444W,nrcalong,a,597,-17.4981982063332,13.500729585539183
/orange/adamginsburg/jwst/brick/F444W/f444w_nrcb_visit001_exp00001_daophot_basic.fits,-17.482198179898774,13.542882919471943,-17.482198179898774,13.542882919471943,0.06585348476290082,0.06404383795160781,jw01182004001,001,004,1,F444W,nrcblong,b,646,-17.503764941382656,13.499552561309635
/orange/adamginsburg/jwst/brick/F444W/f444w_nrcb_visit001_exp00002_daophot_basic.fits,-17.480013394579714,13.546290985096853,-17.480013394579714,13.546290985096853,0.06449893686465621,0.06618923084540727,jw01182004001,001,004,2,F444W,nrcblong,b,642,-17.503764941382656,13.499552561309635
/orange/adamginsburg/jwst/brick/F444W/f444w_nrcb_visit001_exp00003_daophot_basic.fits,-17.478495140717882,13.549742087304061,-17.478495140717882,13.549742087304061,0.0659108337081905,0.06644729368501395,jw01182004001,001,004,3,F444W,nrcblong,b,670,-17.503764941382656,13.499552561309635
/orange/adamginsburg/jwst/brick/F444W/f444w_nrcb_visit001_exp00004_daophot_basic.fits,-17.47879557996896,13.54970789792953,-17.47879557996896,13.54970789792953,0.0662316952690825,0.06497952868764678,jw01182004001,001,004,4,F444W,nrcblong,b,648,-17.503764941382656,13.499552561309635
/orange/adamginsburg/jwst/brick/F444W/f444w_nrcb_visit001_exp00005_daophot_basic.fits,-17.483804847389024,13.554226572605565,-17.483804847389024,13.554226572605565,0.06710214367074577,0.06254270239378887,jw01182004001,001,004,5,F444W,nrcblong,b,622,-17.503764941382656,13.499552561309635
/orange/adamginsburg/jwst/brick/F444W/f444w_nrcb_visit001_exp00006_daophot_basic.fits,-17.485141472100736,13.552525023732564,-17.485141472100736,13.552525023732564,0.062082170675860325,0.06486398423231578,jw01182004001,001,004,6,F444W,nrcblong,b,637,-17.503764941382656,13.499552561309635
/orange/adamginsburg/jwst/brick/F444W/f444w_nrcb_visit001_exp00007_daophot_basic.fits,-17.489297712048142,13.559570763608896,-17.489297712048142,13.559570763608896,0.07030749202705133,0.06864588126049176,jw01182004001,001,004,7,F444W,nrcblong,b,609,-17.503764941382656,13.499552561309635
/orange/adamginsburg/jwst/brick/F444W/f444w_nrcb_visit001_exp00008_daophot_basic.fits,-17.491033030599397,13.56084970224709,-17.491033030599397,13.56084970224709,0.06931848595323557,0.06610757907305997,jw01182004001,001,004,8,F444W,nrcblong,b,615,-17.503764941382656,13.499552561309635
/orange/adamginsburg/jwst/brick/F444W/f444w_nrcb_visit001_exp00009_daophot_basic.fits,-17.492109133339113,13.558733629259855,-17.492109133339113,13.558733629259855,0.0709451523965129,0.06669843968575771,jw01182004001,001,004,9,F444W,nrcblong,b,603,-17.503764941382656,13.499552561309635
/orange/adamginsburg/jwst/brick/F444W/f444w_nrcb_visit001_exp00010_daophot_basic.fits,-17.49359509057797,13.55789712033053,-17.49359509057797,13.55789712033053,0.0675652177945154,0.06681719336007295,jw01182004001,001,004,10,F444W,nrcblong,b,592,-17.503764941382656,13.499552561309635
/orange/adamginsburg/jwst/brick/F444W/f444w_nrcb_visit001_exp00011_daophot_basic.fits,-17.487561706225847,13.546865594474532,-17.487561706225847,13.546865594474532,0.06821503775018822,0.06286714465147375,jw01182004001,001,004,11,F444W,nrcblong,b,646,-17.503764941382656,13.499552561309635
/orange/adamginsburg/jwst/brick/F444W/f444w_nrcb_visit001_exp00012_daophot_basic.fits,-17.484098998473314,13.545702191295938,-17.484098998473314,13.545702191295938,0.06677479205188157,0.05883093491668823,jw01182004001,001,004,12,F444W,nrcblong,b,632,-17.503764941382656,13.499552561309635
/orange/adamginsburg/jwst/brick/F200W/f200w_nrca1_visit002_exp00001_daophot_basic.fits,1.9648823747650794,1.0603020612185645,1.9648823747650794,1.0603020612185645,0.07599021943272025,0.0824282941385227,jw01182004002,002,004,1,F200W,nrca1,a,172,1.9486722421368767,0.998577052901183
/orange/adamginsburg/jwst/brick/F200W/f200w_nrca1_visit002_exp00002_daophot_basic.fits,1.9638191746515303,1.0619695185523739,1.9638191746515303,1.0619695185523739,0.07250877154380829,0.08324658318188448,jw01182004002,002,004,2,F200W,nrca1,a,182,1.9486722421368767,0.998577052901183
/orange/adamginsburg/jwst/brick/F200W/f200w_nrca1_visit002_exp00003_daophot_basic.fits,1.9590620740053282,1.026814624452598,1.9590620740053282,1.026814624452598,0.07376437544929441,0.08260122309315637,jw01182004002,002,004,3,F200W,nrca1,a,180,1.9486722421368767,0.998577052901183
/orange/adamginsburg/jwst/brick/F200W/f200w_nrca1_visit002_exp00004_daophot_basic.fits,1.9550375064716945,1.0323663427824528,1.9550375064716945,1.0323663427824528,0.06952549154257555,0.07800476669446642,jw01182004002,002,004,4,F200W,nrca1,a,185,1.9486722421368767,0.998577052901183
/orange/adamginsburg/jwst/brick/F200W/f200w_nrca1_visit002_exp00005_daophot_basic.fits,1.9406206771157712,1.024442912352285,1.9406206771157712,1.024442912352285,0.0691726573860599,0.06812384420990253,jw01182004002,002,004,5,F200W,nrca1,a,193,1.9486722421368767,0.998577052901183
/orange/adamginsburg/jwst/brick/F200W/f200w_nrca1_visit002_exp00006_daophot_basic.fits,1.947980931371444,1.0229382467825445,1.947980931371444,1.0229382467825445,0.07204494318194789,0.0686549646755759,jw01182004002,002,004,6,F200W,nrca1,a,190,1.9486722421368767,0.998577052901183
/orange/adamginsburg/jwst/brick/F200W/f200w_nrca1_visit002_exp00007_daophot_basic.fits,1.9487080214651769,1.0277003380478646,1.9487080214651769,1.0277003380478646,0.07401004544940254,0.060972650397298434,jw01182004002,002,004,7,F200W,nrca1,a,199,1.9486722421368767,0.998577052901183
